time,intensity,flood_prediction
12/12/2024 0:25,low_intensity,No Risk
12/12/2024 0:30,high_intensity,No Risk
12/12/2024 0:35,high_intensity,No Risk
12/12/2024 0:40,low_intensity,No Risk
12/12/2024 0:45,low_intensity,No Risk
12/12/2024 0:48,high_intensity,No Risk
12/12/2024 0:51,high_intensity,No Risk
12/12/2024 0:56,high_intensity,No Risk
12/12/2024 1:01,high_intensity,No Risk
12/12/2024 1:55,Low Intensity,No Risk
12/12/2024 2:00,High Intensity,No Risk
12/12/2024 2:05,High Intensity,No Risk
12/12/2024 2:06,High Intensity,No Risk
12/12/2024 2:07,Low Intensity,No Risk
12/12/2024 2:08,Low Intensity,No Risk
12/12/2024 2:09,Low Intensity,No Risk
12/12/2024 2:10,Low Intensity,No Risk
12/12/2024 2:11,Low Intensity,No Risk
12/12/2024 2:12,Low Intensity,No Risk
12/12/2024 2:14,Low Intensity,No Risk
12/12/2024 2:15,Low Intensity,No Risk
12/12/2024 2:16,Low Intensity,No Risk
12/12/2024 2:17,Low Intensity,No Risk
12/12/2024 2:18,High Intensity,No Risk
12/12/2024 2:19,Low Intensity,No Risk
12/12/2024 2:20,Low Intensity,No Risk
12/12/2024 2:21,Low Intensity,No Risk
12/12/2024 2:22,Low Intensity,No Risk
12/12/2024 2:23,Low Intensity,No Risk
12/12/2024 2:24,High Intensity,No Risk
12/12/2024 2:26,High Intensity,No Risk
12/12/2024 2:27,High Intensity,No Risk
12/12/2024 2:28,Low Intensity,No Risk
12/12/2024 2:29,High Intensity,No Risk
12/12/2024 2:30,High Intensity,No Risk
12/12/2024 2:31,Low Intensity,No Risk
12/12/2024 2:32,Low Intensity,No Risk
12/12/2024 2:33,Low Intensity,No Risk
12/12/2024 2:34,Low Intensity,No Risk
12/12/2024 2:35,Low Intensity,No Risk
12/12/2024 2:37,Low Intensity,No Risk
12/12/2024 2:38,Low Intensity,No Risk
12/12/2024 2:39,Low Intensity,No Risk
12/12/2024 2:40,High Intensity,No Risk
12/12/2024 2:41,Low Intensity,No Risk
12/12/2024 2:42,Low Intensity,No Risk
